SEQ,INSCL,INSCL_NAME,INSCL_DATEEXP,MAININSCL,SOURCE,USED
21,"80","บุคคลในครอบครัวทหารผ่านศึกชั้น 1 รวมถึงผู้ได้รับพระราชทานเหรียญชัยสมรภูมิและทายาท","Noexp","WEL","1","Y"
22,"81","ผู้นำชุมชน (กำนัน สารวัตรกำนัน ผู้ใหญ่บ้าน ผู้ช่วยผู้ใหญ่บ้านและแพทย์ประจำตำบล)","ตามวาระที่ได้รับมอบหมาย","WEL","1","Y"
24,"83","ผู้นำศาสนาอิสลาม ( อิหม่าม คอเต็บ บิหลั่น)","ตามวันหมดอายุของบัตรประจำตัว","WEL","1","Y"
25,"84","บุคคลในครอบครัวของผู้นำศาสนาอิสลามของผู้นำศาสนาอิสลาม ( อิหม่าม คอเต็บ บิหลั่น)","ตามวันหมดอายุของเจ้าของบัตรประจำตัว","WEL","1","Y"
28,"87","บุคคลในครอบครัวผู้นำชุมชน ได้แก่ กำนัน สารวัตรกำนัน ผู้ใหญ่บ้าน ผู้ช่วยผู้ใหญ่บ้านและแพทย์ประจำตำบล","ตามวันหมดอายุของเจ้าของบัตรประจำตัว","WEL","1","Y"
30,"89","ช่วงอายุ 12-59 ปี","ระหว่างช่วงอายุ 12 - 59 ปี","UCS","1","Y"
31,"90","ทหารเกณฑ์","Noexp","WEL","1","Y"
32,"91","ผู้พำนักในสถานที่ภายใต้การดูแลของส่วนราชการ 1","ตามวันที่พ้นโทษ","WEL","1","Y"
33,"92","ผู้พำนักในสถานที่ภายใต้การดูแลของส่วนราชการ 2","ตามช่วงเวลาที่อยู่ในความดูแล","WEL","1","Y"
34,"93","นักเรียนทหาร","ตามวันที่จบการศึกษา","WEL","1","Y"
36,"95","บุคคลในครอบครัวทหารผ่านศึกชั้น 2 - 4 รวมถึงผู้ได้รับพระราชทานเหรียญชัยสมรภูมิและทายาท","Noexp","WEL","1","Y"
37,"96","ทหารพราน","ตามวันหมดอายุของบัตรประจำตัว","WEL","1","Y"
42,"O1","สิทธิเบิกกรมบัญชีกลาง (ข้าราชการ)",,"OFC","2","Y"
43,"O2","สิทธิเบิกกรมบัญชีกลาง (ลูกจ้างประจำ)",,"OFC","2","Y"
